Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-01-09,24.298608811535857,24.205608044035085,23.778910719530497,23.724149983875293,22.88396982600014,24.750998094441428,28.760217589526277,37.31703621697698,44.96704321986954,43.96113490992012,41.05949894295776,40.88901404902013,36.36701705648974,35.46688536266913,35.30221747360055,37.85892951415674,42.61312511653317,46.69485355231657,40.00068342130807,33.61153165297381,29.85786991271528,26.815929739182835,25.078462186740147,23.12023802595795
2016-01-10,22.260406644980907,21.561730658541727,20.885676591703596,20.816356150279407,20.247040907537308,20.979824058470175,21.823670661585748,23.02540131601295,25.690832781829535,25.639558736446535,26.868058943125952,27.7922822771239,27.730385892235013,27.45986170657352,27.29953269755993,29.16069034681535,32.952682231772,36.132160272651774,32.03491516214339,26.94586921527435,25.406528929404708,24.09768124014639,23.21734309310506,22.52554631956617
2016-01-11,22.12390563188479,21.90731721475286,21.728332893973448,22.082195723742945,22.21388982356872,23.37929353682922,25.282016954123172,28.62929074700544,31.531533155151138,30.587792694262994,29.99267860623479,29.729940272531373,28.875051663733693,28.308170507102513,28.993723234729842,30.591096018027518,32.83567014491109,35.985817963019755,33.458224325150304,28.395744563067332,25.791730533336526,25.40600912729661,24.244246385980325,23.356655801803992
2016-01-12,22.02815878306412,21.63015943761456,21.393569617061527,21.446113920028864,21.69699366893674,23.406864409526914,27.375208107815627,37.09789507745583,40.00197179023436,38.8485839176833,35.18328314556722,34.59713535310374,31.85178669381475,30.468999659581467,31.58496962230884,32.448978875441355,34.0016550380426,37.63051580631114,35.53026246827366,29.968091294229666,26.14256877000991,25.448850030866403,23.67836587132563,22.447127293449597
2016-01-13,21.3016210728377,20.603430390613298,20.25205425804594,20.546151146413923,20.417025144641325,22.09977538097184,25.99649296410809,30.896398650459755,34.57984159709965,33.73307749725832,32.496981608114346,32.97076185528056,32.59400743093651,32.322057934945065,32.71553000370899,33.387589343856625,36.013638858328484,39.34501673867652,35.749164355920016,30.658699249842698,27.867982900890354,25.701469027558954,24.12285278363391,22.51076032751379
2016-01-14,22.69315613877884,21.80014790309915,21.25565407116477,21.66827024999501,21.919010192195202,24.163187133757503,28.80593322881776,37.34099688661902,40.306352434533025,39.37973009539705,38.051252240550255,38.19636998207953,36.28622812672911,36.036988479171214,36.02665817852136,39.68391423366024,46.33418432290459,56.1744199501848,42.99396088599861,32.901794140300545,27.03705398722537,25.967072945180004,24.75183814558359,22.609505331330674
2016-01-15,25.007793753188572,24.2325800095569,23.65744673975972,24.2496838093548,24.08131554407002,26.48851729197783,31.95434223915541,48.24579033319544,55.08798397007842,52.40636336403905,49.92967306736453,46.83871766674769,44.49618750105178,44.47741312353741,42.77893514820481,46.740024623873715,59.66620622468684,71.35423286971287,54.729135158401675,38.519381666389016,32.13830387527164,28.901338036319853,27.366418920282456,25.336721425095114
2016-01-16,25.10923084463483,24.548408685634925,23.848523109307614,23.94112892976741,23.481989952325925,24.32094128461697,28.144751634637274,36.86840434213719,43.444263163197554,40.852790244942284,37.96379041163164,38.095888338698586,38.36255834353952,36.45551751761283,36.02028279763061,38.72636227510701,47.289506410498376,58.83201689824307,45.31459261917307,33.23313808366187,28.620977898936182,26.838946452906264,25.586289281697375,24.03335321507979
2016-01-17,23.951015100864694,23.72626841071083,23.424086632997767,23.457808386967944,23.106408692484575,23.912824148744377,24.740252283652378,29.28347048762895,31.331833233992924,30.178320135663043,30.30690787977754,29.9858603562854,29.4143993771661,29.282476931732184,29.47463101142897,30.983122582520963,33.811738864411076,37.604241077546575,34.90464810769093,29.83568276055868,28.10174151019533,26.781640958544426,25.940914644997676,25.16327803761701
2016-01-18,24.03181735178697,23.476350656907456,22.913166523109275,23.01361899080589,23.238529602386308,25.168024130892206,28.218020028040915,36.39304687501869,41.27252637139917,39.43119500600022,36.4465827349732,34.32420641144285,34.435472330154944,34.09882393121441,32.86717921158923,34.80164082652438,37.57400655467324,40.23134127943399,36.82677723980187,31.97899505399888,27.668724465383928,26.578304945923502,24.91566126746769,23.280649384819228
