Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2021-12-20,276.23041619036843,252.06607673214359,219.9938736896317,201.61099991711248,211.31917784235722,250.74523355940482,266.73433098421526,317.2870675385609,320.40599546729425,330.7577406666288,339.9787338236813,312.18651101757945,353.0494319863076,324.0134515184657,321.6972853052275,329.9529502801396,323.6700349223181,368.9364324253126,292.65241319498756,256.1453815288252,338.9302511023395,313.9484181882998,298.8777538218037,274.2496413112988
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-25,,,,,,,,,,,,,,,,,,,,,,,,
