Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-11-22,0.9474992342322466,-0.42617700906265554,-0.9179136940297035,-1.6747716941313797,-2.8259429799864613,-4.4847135359143095,-7.968647142698533,-10.543638309600873,-8.791145458226332,-7.448718318988547,-6.777275889848838,-4.7396036525366085,-4.446863991760182,-4.416329202170921,-4.298061971102058,-4.093426849513278,-3.017314672138852,-2.8147657805392683,-2.8407473659803344,-2.1595402525997613,-1.6608617900268214,-1.5856863090249185,-1.8842760866536672,-2.5494565205795965
2020-11-23,1.625732688581639,1.0436815870376464,0.9592816738946262,1.085926117378218,2.282178324967539,3.7889744959130134,6.309175662480747,9.955278359961792,11.719238647671133,10.819995900298213,9.487125490318903,8.789674794490722,8.91967419716552,9.025569088394086,9.712243751305166,10.041141105216024,10.186470678312329,10.594146500996992,9.917335969427246,7.241129279309064,5.515279741974169,4.61951332021054,3.617709875514379,1.4471812206856463
2020-11-24,3.326614001202344,3.314353881307568,3.6485026293041614,4.201291663531762,4.29867178977678,4.880124844854279,6.307318457182813,9.172654750858058,10.130080802674616,9.150159140294875,8.964544198260715,8.42964707289795,9.194818832650501,9.519203175549155,10.493268571190267,10.623217200117956,10.718890406098318,11.13234500620699,9.77663233360051,8.04127737597527,6.574217544565045,5.784747830210563,4.873926581901451,4.986988794730777
2020-11-25,3.4841131740662306,3.7413728556485992,3.4933771848405364,3.985876115021835,4.380187604840408,4.4281608608067735,3.6900631329000646,5.012503484418467,6.793861079944268,7.353154071078443,7.0320350259883995,6.377642420952537,6.215330501135135,6.325966710573049,6.804743699086647,7.526827610478456,7.8926553484937685,7.975573065794251,7.1887812307097825,5.2631137412675955,4.320285865271753,4.047873528265136,2.9062930061202117,1.5665958715163981
2020-11-26,2.8395682428189204,3.5795737827615355,4.139451054816117,3.9135029242825468,3.3065329826772114,4.508472981177903,4.650495671955344,7.212990563616312,9.430891163199338,8.723897735275159,9.324632463115108,8.445126346813407,8.954884139543324,9.262290309028707,10.344950210130428,10.469625527146004,11.354681200503272,11.48810532495309,10.753641315514294,8.795436420123174,7.029903276508474,6.622771916965334,6.384190697650389,6.073971628635263
2020-11-27,7.472790573802683,7.558110847930454,8.351316706148701,8.912266661355073,10.659258712833914,12.115794144160851,14.683958120653202,19.688421553191212,22.008266866280806,20.927789206146088,20.037672407422953,19.05622449527312,18.868175870865578,18.587429641819206,18.741366164706278,18.819198045120235,19.849949914405517,21.45981448706531,18.849330415791222,15.304364254472421,12.581868764943604,11.86660864516396,11.591658029568993,12.523153083419928
2020-11-28,10.511311739527098,10.85713915215058,11.550547839037606,11.236819585004376,10.37531928060897,9.971120776413532,14.408632931273068,21.946627525902144,24.528331391431564,26.19374263924866,23.61743517825838,22.18185895611453,22.449045759942834,21.870294290574893,21.78455342136262,21.75921109341685,25.679884864292955,25.911179410233892,19.205393950634086,14.886266007865345,12.78952117779177,11.2445815206158,11.816717940036206,11.177122790412195
2020-11-29,12.32904233329355,12.405223580415353,12.55133516263651,12.669951649036365,12.033142636494564,11.09576943080027,10.220801977649156,10.73847052963658,9.723575645709918,15.13852861773843,16.565853892724345,17.057566389143968,17.38555263048057,17.107601547183013,17.432436688313018,17.956092219051957,20.018467028726306,22.607129232505926,20.335437351855056,16.67946831257466,14.495799091235199,12.814180933730984,13.129215326173806,13.47439092931199
2020-11-30,12.5207322474608,12.640308959633202,13.409133887661838,13.203217971034478,12.333315364356007,13.63157402588152,15.995652683221705,19.104156913408566,20.67660225884091,21.148375804116572,18.509853257475452,17.576695125877766,18.10240345783859,17.440115847499644,17.498747033760036,17.452967611728056,18.175401463489465,20.206669306106072,17.29372551852264,13.360794966034323,12.836422963546106,12.083248743354478,11.89181587724444,12.39325857439875
2020-12-01,11.792595943429895,12.308189737394905,12.877649428090464,12.750678631579287,12.906471591508412,12.576275508618082,15.018396615360942,19.655938491465207,23.385472820171582,21.40890965394214,20.692850360813157,19.952001290378,19.16454257684777,19.046116983146806,19.277462862375604,20.30616817945227,21.92941148641902,23.716451696307974,21.008926169755092,18.53672623259494,15.957044064757135,15.433845678108785,15.291736140472027,15.51839199734509
