Dates,Price, Generation forecast (FR),System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Day-ahead generation forecast Solar (BE) (MWh),Grid load forecast (BE) (MW)
2021-12-20 00:00:00,0.5886787509754998,0.0,0.0,-0.17490746724538447,0.04621331985250797,0.002506050077790682
2021-12-20 01:00:00,0.5797314357539196,0.0,0.0,-0.15321252540714,0.0,-0.015804116022600085
2021-12-20 02:00:00,0.41953412075935614,0.07366262340789526,0.0,-0.20409943422058305,0.01883878313918442,0.010271378588255218
2021-12-20 03:00:00,0.5250853119218056,0.16580542874815032,0.020621439859964664,-0.2519556136280935,0.0671033042691139,0.016877851679013452
2021-12-20 04:00:00,0.436099405538116,0.23250232205757843,0.002207949744079023,-0.5101514865882448,0.024906722329358973,0.048177290379465096
2021-12-20 05:00:00,0.5697772676012473,0.16539611517327363,0.0,-0.22299098211818316,0.053501735414293906,0.0
2021-12-20 06:00:00,0.2152636966790313,0.21025483026870784,0.0,-0.19589212389833108,0.0,0.23033619134883415
2021-12-20 07:00:00,0.23443779578970136,0.2919594148597942,0.0,-0.2003233974173372,0.0,0.2860302141614068
2021-12-20 08:00:00,0.24652935998398856,0.5147156407301873,0.08599860688097441,-0.1910291022102635,0.0,0.09378216920588608
2021-12-20 09:00:00,0.27551221695597794,0.47930844613264095,0.0,-0.12605142585520002,0.0,0.0023377787520592183
2021-12-20 10:00:00,0.37411649085019505,0.4152612272975347,-0.0389731594084344,-0.29136956733635455,0.0,0.2829627185047605
2021-12-20 11:00:00,0.43327091376487575,0.442280286808451,-0.13058169483612714,-0.19308898234745808,-0.16034781766157089,0.07325221148033383
2021-12-20 12:00:00,0.602505962223719,0.14421472137185803,0.0,-0.24115797368724728,-0.11496891707309084,0.0
2021-12-20 13:00:00,0.3138935069140777,0.29423536828728847,0.0,-0.3554022638094856,-0.16461313244719267,-0.0381570622187592
2021-12-20 14:00:00,0.26517890473059375,0.4034768886794862,0.0,-0.2846484179051287,-0.13989774032620528,0.009187371862371688
2021-12-20 15:00:00,0.31097256344981683,0.3064657843362669,0.0075864160504248174,-0.2131669615550707,0.0,0.04262883338438922
2021-12-20 16:00:00,0.3339203512459759,0.4197992559066292,0.0775548194546992,-0.1226748167651888,0.017436835305141705,0.0
2021-12-20 17:00:00,0.4356453699143316,0.33156656042249244,0.12251762901860899,-0.15408407004157432,0.05526679215386361,-0.002725284686916593
2021-12-20 18:00:00,0.8117013468644037,0.43053977712165425,0.0,-0.03284049034155122,0.003870616141265531,0.0
2021-12-20 19:00:00,0.7066745910479328,0.4685272636894229,0.3045159542433345,-0.33452088097800364,0.02242777285853103,0.0
2021-12-20 20:00:00,0.6138002345336682,0.34961421736935916,-0.04225499105088719,-0.0010427167042983637,-0.03208161665730147,-0.035304744852067665
2021-12-20 21:00:00,0.3816202031123094,0.5006004342821695,0.006557881615794574,-0.09558356844478144,-0.055179465738046114,0.0
2021-12-20 22:00:00,0.5132247912431753,0.27471111243233604,0.06843411100407935,-0.10562740098527998,-0.09809735649434004,-0.08125391477023473
2021-12-20 23:00:00,0.4968682799164414,0.31878929388114285,0.0649062216962791,-0.1745834945618441,0.0,0.0
2021-12-21 00:00:00,0.6049435588660055,-0.047941128450570004,0.011687312519393141,-0.20663930237029013,0.021639521240152067,0.0
2021-12-21 01:00:00,0.6076440050320819,-0.012745498454249639,-0.013971245076932155,-0.20686766389925926,0.0,0.0
2021-12-21 02:00:00,0.7646308568615454,0.0,0.01656528717956718,-0.24330645863542283,0.025636019297177147,0.0
2021-12-21 03:00:00,0.7233688710493426,0.06390524382508565,0.02569373991624223,-0.20587089782589116,0.0,0.0
2021-12-21 04:00:00,0.7218254335783314,0.17239844198093013,-0.003357691102609847,-0.39721720011797335,0.0,0.0
2021-12-21 05:00:00,0.7723138446596066,0.048150535386327034,-0.03165335228580705,-0.18889428983946696,0.008517964920781431,0.0028113230007366626
2021-12-21 06:00:00,0.36756453031177394,0.19693518108301883,-0.02803768842771288,-0.19482323707508414,-0.018539589617690325,0.1568256394526262
2021-12-21 07:00:00,0.335981627648713,0.14076538694382704,0.02161599777683053,-0.255890514534522,-0.04374422017876365,0.3107008074846269
2021-12-21 08:00:00,0.3863359635483679,0.29387588527764413,0.3399464264812889,-0.34304716054778617,0.0,0.14238046622440084
2021-12-21 09:00:00,0.43675589458611946,0.3014283879616059,0.05527335804335397,-0.18884436856184778,0.0,0.0
2021-12-21 10:00:00,0.3825883655572084,0.37670087287208504,-0.08721537915553047,-0.3103445098254389,-0.036119459092526514,0.19545532562705853
2021-12-21 11:00:00,0.363994138954712,0.5211271353753174,-0.08846940196229065,-0.30111012820609395,-0.008161349647780513,0.14705854812849103
2021-12-21 12:00:00,0.4651099644573532,0.41729620132529344,-0.20634423728065615,-0.24743667095559974,0.0,0.08271141529531474
2021-12-21 13:00:00,0.35987240528126374,0.4127044017349476,-0.004100061599933428,-0.27640894401929134,-0.010837225611746227,-0.07607153095189483
2021-12-21 14:00:00,0.3577412257666753,0.39955050980985474,-0.03838947377346528,-0.18839274534572487,-0.04178868994955806,-0.0321064053876736
2021-12-21 15:00:00,0.45048994240077905,0.36793423201101,0.04114705298153876,0.0,0.032430461501631626,-0.0437947259125074
2021-12-21 16:00:00,0.392632264569472,0.42667768952422525,0.07001931531488552,-0.18893048072821647,-0.007377550096398955,-0.006719902015574581
2021-12-21 17:00:00,0.3667225962633149,0.3275630862499834,0.14712015459575264,-0.23498339813222252,-0.004131508784508759,-0.03652028687588903
