Dates, Grid load forecast [MW], Wind power forecast (DK) [MWh],Wind power forecast (SE) [MWh],Total Wind [MWh],Hydro reservoir [GWh]
2018-01-06 00:00:00,-0.08565225926207604,0.051802327586864774,-0.02846018152823421,-0.08842303503289854,0.0
2018-01-06 01:00:00,-0.07112583146480134,0.1878222862977838,-0.16815711211157458,-0.09938243890396954,0.0
2018-01-06 02:00:00,0.0,0.1312112328201936,-0.17330321215244043,-0.12418477007510953,0.01538215179657716
2018-01-06 03:00:00,0.0,0.05103158528305871,-0.13113416832777192,-0.12583154005911437,0.00862244022466682
2018-01-06 04:00:00,0.057756501331569066,-0.03381629079807666,-0.0834868392360237,-0.16154247763216278,0.08578557477377674
2018-01-06 05:00:00,0.2731738519609816,-0.19161098527085163,-0.07993140896573962,-0.12369079987021425,0.22407369235608898
2018-01-06 06:00:00,0.47225885410101437,-0.18727327759081822,-0.20769302639281392,0.08874564590167494,0.3262912686024315
2018-01-06 07:00:00,0.6717627843118574,0.04444886079381292,-0.11220344185533278,-0.40406819952993106,0.24691253400978175
2018-01-06 08:00:00,0.6049214606397364,-0.018351172075617157,-0.1696365798053009,-0.38477842036716703,0.11668470754319757
2018-01-06 09:00:00,0.49113200661237355,-0.15267399176674423,-0.12857781875522006,-0.2685338242163788,0.0
2018-01-06 10:00:00,0.45166783045061365,-0.1988220557325827,-0.277002950021166,-0.2521686266346951,0.0
2018-01-06 11:00:00,0.45621025720398356,-0.3899032390554401,-0.40216534058210085,0.03648528068417708,-0.01974260300451074
2018-01-06 12:00:00,0.5324603295065629,-0.40623823911509716,-0.4034223692979033,-0.08104826812254677,0.0
2018-01-06 13:00:00,0.5916476873593429,-0.38799175370832006,-0.34730912397711616,-0.1337626659195279,0.0
2018-01-06 14:00:00,0.658542435155328,-0.4355632474694728,-0.38120138369582857,-0.033772152721779455,0.0
2018-01-06 15:00:00,0.6432259614864697,-0.3336144591743367,-0.35508089182169833,-0.12138710942218131,0.0
2018-01-06 16:00:00,0.7443886150383183,-0.3684607148740185,-0.4210620502378411,-0.10586591474242046,0.0
2018-01-06 17:00:00,0.4675716391206979,-0.2772253909543059,-0.33567642670918296,-0.3286350603066794,0.0
2018-01-06 18:00:00,0.29284521459602936,-0.19627389848508095,-0.4193938444533283,-0.299608342618508,0.0
2018-01-06 19:00:00,0.18360660760195222,-0.2631957156418194,-0.3438584604640268,-0.2062643763368552,0.10049700997776616
2018-01-06 20:00:00,0.2561394288865899,-0.30652446245787524,-0.1548456342326955,-0.23102976163771513,0.21344268750544723
2018-01-06 21:00:00,0.23427336475603794,-0.5799212318941637,-0.14164576022497363,0.15578905223660844,0.20056670910529376
2018-01-06 22:00:00,0.2867936753872754,-0.32851419978936086,-0.11970713903553627,-0.2188417239564978,0.22965738753539314
2018-01-06 23:00:00,0.06551948559415657,-0.44771782719226993,-0.15869116046060747,0.023510862754639317,0.14071283448183583
2018-01-07 00:00:00,-0.1044977968391746,0.019718324276421076,-0.03710721078206464,-0.06550519121382456,0.0
2018-01-07 01:00:00,-0.06010868020814887,0.17268695394072017,-0.10122314808810837,-0.1035044194418038,0.0
2018-01-07 02:00:00,-0.0035806155686849846,0.14682814717246406,-0.1864016858477825,-0.1396308537417022,0.041391490958271174
2018-01-07 03:00:00,0.0,0.06653036589490086,-0.13397300713663154,-0.1540021222803083,0.026710026362714745
2018-01-07 04:00:00,0.06723470214355469,-0.028052507864812358,-0.08860696458929986,-0.16158364831791788,0.08900483416359829
2018-01-07 05:00:00,0.2661890119939121,-0.19053275511469472,-0.045961767057763385,-0.14905680741114438,0.22261473416072217
2018-01-07 06:00:00,0.4445446295441155,-0.17373254574456576,-0.14299407979107387,0.053018451928395965,0.2932805445523155
2018-01-07 07:00:00,0.6658423833643796,0.05890960150002872,-0.051973748735134474,-0.41388071803656573,0.218691903474279
2018-01-07 08:00:00,0.4999553687743402,0.013207808318929107,-0.1625359642811962,-0.3519607239175465,0.043481020683618386
2018-01-07 09:00:00,0.5047349244574474,-0.16653509422518037,-0.13143653622105086,-0.34294268619674534,0.0
2018-01-07 10:00:00,0.4294340584218471,-0.19047020997499006,-0.252731888927696,-0.28248339727869226,0.0
2018-01-07 11:00:00,0.4340879886558511,-0.23702683970018956,-0.25417520867704146,-0.2577353594341577,0.0
2018-01-07 12:00:00,0.5760279495552998,-0.3487026671456347,-0.30882624303668654,-0.2341299247583958,0.0
2018-01-07 13:00:00,0.6011894258248388,-0.2389439396126457,-0.24417722614666698,-0.3812324969497279,0.0
2018-01-07 14:00:00,0.6332831925426793,-0.4091765953161032,-0.3127789017384276,-0.11838182298213684,0.0
2018-01-07 15:00:00,0.7142658928184322,-0.2847706536395938,-0.256494149033657,-0.2884228506313895,0.0
2018-01-07 16:00:00,0.7268756243342779,-0.4454168502026605,-0.3924333421814047,-0.06972751803063487,0.0
2018-01-07 17:00:00,0.49612839282542076,-0.337297818278681,-0.2930181639848047,-0.3509822830454952,0.0
2018-01-07 18:00:00,0.27073516190979646,-0.2973637205428843,-0.37613621166270034,-0.27256344847463637,0.0
2018-01-07 19:00:00,0.09502222576764192,-0.32549296266332234,-0.33405644056739936,-0.10137925166682808,0.0430985920638147
2018-01-07 20:00:00,0.20885492325031157,-0.5928834594179273,-0.1907056625995729,0.17612470658031548,0.07839541901732956
2018-01-07 21:00:00,0.2717695924858063,-0.6747245987469169,-0.14533846650453275,0.25812314208296117,0.18208432992832252
2018-01-07 22:00:00,0.28696177924647864,-0.5100266028415338,-0.19742014309831185,0.061927302038315285,0.2167847537709226
