Dates,Generation forecast BE,System load forecast FR,Day-Ahead Generation forecast wind BE,Day-ahead generation forecast Solar BE
2018-01-06 00:00:00,0.0,0.024922569411151795,-0.020917318073275425,0.09465347399077018
2018-01-06 01:00:00,0.2972071006910318,0.042534169001663014,-0.07557123959584641,0.18423759594967942
2018-01-06 02:00:00,0.011175614029897158,0.4040959214036449,-0.26669372011558484,0.2542152155546411
2018-01-06 03:00:00,-0.08626925742159627,0.7596100929982781,-0.2795383363556231,0.33696843294977485
2018-01-06 04:00:00,-0.19993298016805755,0.6238427581369913,-0.37783113052252837,0.23321512943719594
2018-01-06 05:00:00,-0.04375478153886223,0.6943412751733998,-0.2949541934017778,0.35447882530225056
2018-01-06 06:00:00,-0.20116309676325148,0.5775164037401088,-0.3752525397532009,0.18146413983807244
2018-01-06 07:00:00,-0.25885259109791725,0.618320762682684,-0.16042793677341496,0.05909730716610943
2018-01-06 08:00:00,-0.345630941095979,0.673837417848055,-0.206800366097582,0.08317809371167527
2018-01-06 09:00:00,-0.20544144490634822,0.748286313443946,-0.08447183192136176,0.19134871491963018
2018-01-06 10:00:00,0.007580209370696457,0.6911223570341648,0.062093238578252205,0.14227987926951113
2018-01-06 11:00:00,-0.11645204899687028,0.5651767346112626,-0.04281108150777492,-0.019133384977257382
2018-01-06 12:00:00,-0.10109033939718737,0.338185648406225,-0.2571519597812375,-0.03340779169887927
2018-01-06 13:00:00,-0.21215378745912275,0.4174755580203136,-0.31834984872771377,-0.10462078008374381
2018-01-06 14:00:00,-0.2631627978498441,0.4575613504700815,-0.23575381097308623,-0.12627224292688963
2018-01-06 15:00:00,-0.33967444204632746,0.5184464319626588,-0.4189284397789174,-0.12244006523978322
2018-01-06 16:00:00,-0.23810627462763043,0.5050645965153386,-0.35161998649728843,-0.04675832726512562
2018-01-06 17:00:00,-0.24404060654246987,0.6396066536759104,-0.2671068919832865,-0.004557407096081852
2018-01-06 18:00:00,-0.3274628183156148,0.5202798095002463,-0.30108646604458816,0.11206851254586409
2018-01-06 19:00:00,-0.1025061563959763,0.3688615538424798,-0.23315954626046667,0.1561132443228162
2018-01-06 20:00:00,-0.1938792755459247,0.21522168580314494,-0.4488017158173278,-0.0016166400149123464
2018-01-06 21:00:00,-0.05695202792163494,0.24047438424387327,-0.44418082696769073,0.13572829830667607
2018-01-06 22:00:00,-0.35825877173937315,0.3335524958087731,-0.17927000746035465,-0.014612275825501678
2018-01-06 23:00:00,0.006768036340093912,0.3626820299398446,-0.2921590756673509,0.1286201503521654
2018-01-07 00:00:00,0.0,0.03848903304212965,-0.012915370276501428,0.07800586266508802
2018-01-07 01:00:00,0.1834251511654582,0.1681276198510464,-0.08812767201416433,0.23021062611561344
2018-01-07 02:00:00,0.03313097876863312,0.4345575466920047,-0.24759415583314917,0.3098187886332293
2018-01-07 03:00:00,-0.07035883045509134,0.7146466537520256,-0.3144726244723537,0.32283790998477135
2018-01-07 04:00:00,-0.24096227645797244,0.6559008915225186,-0.4178288316985583,0.2582070616171649
2018-01-07 05:00:00,-0.03319225676650921,0.6898463382534546,-0.39087801839558045,0.3688253932416219
2018-01-07 06:00:00,-0.055361231202903635,0.5001325392245755,-0.36113345655760376,0.25836868402632734
2018-01-07 07:00:00,-0.26294694685593784,0.6052454373051365,-0.1833344088275039,0.06869317313266933
2018-01-07 08:00:00,-0.3411481802268866,0.658097746680915,-0.23337359960587015,0.0907921729095639
2018-01-07 09:00:00,-0.2971077077528663,0.7948075393799225,-0.09048444056543162,0.14742508711866906
2018-01-07 10:00:00,0.11133782036409745,0.6432003426450874,0.10874088612976703,0.13778256578602466
2018-01-07 11:00:00,-0.10193663277871573,0.5535839840359319,-0.03599183288200074,-0.041116373581829235
2018-01-07 12:00:00,-0.08837031134462861,0.35681658735987287,-0.24602441648748435,0.0021753340043021083
2018-01-07 13:00:00,-0.2190254753467425,0.40086465210676525,-0.3171232206147666,-0.08560852136646596
2018-01-07 14:00:00,-0.2844108164750168,0.4613059359018265,-0.23957570760554214,-0.11156978627751943
2018-01-07 15:00:00,-0.26522072015101794,0.49129665471852274,-0.4047331870253823,-0.037052655584923586
2018-01-07 16:00:00,-0.24857432804082016,0.5027539855874664,-0.34755735111646546,-0.04414407415026102
2018-01-07 17:00:00,-0.18535116313068856,0.6211958274611395,-0.27100718488981873,0.009375603291846724
2018-01-07 18:00:00,-0.2089673619128627,0.4641897205148766,-0.18921500932573093,0.15609347654325503
2018-01-07 19:00:00,-0.10324486298026443,0.3782785247695596,-0.23667858876162498,0.16501309684198798
2018-01-07 20:00:00,-0.18564549961732296,0.19469166795723214,-0.4803885576919278,0.021556030987306688
2018-01-07 21:00:00,-0.08767459911163594,0.23570754671774816,-0.46339496721694706,0.15853710206910798
2018-01-07 22:00:00,-0.31018939522637806,0.2904050215894468,-0.2124720959010562,-0.0012638565239308057
2018-01-07 23:00:00,0.0,0.3133603810660057,-0.347538985744381,0.127689181409312
2018-01-08 00:00:00,0.0,0.09179181843932244,0.04159193103594412,0.11957279161401999
2018-01-08 01:00:00,0.14201186676167288,0.2619787416643419,-0.05745163546114749,0.28031623322761623
2018-01-08 02:00:00,0.0,0.42987742709569693,-0.2581280315693281,0.2903780743763898
2018-01-08 03:00:00,-0.11953313786776419,0.7951728928689645,-0.26057522124344523,0.3795626052821046
2018-01-08 04:00:00,-0.23217464732040763,0.639154279314189,-0.43215730286103143,0.27528570949101366
2018-01-08 05:00:00,6.898960560533518e-05,0.6166497822074162,-0.3442321843221986,0.3333114507053755
