Dates,Generation forecast (FR),System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Day-ahead generation forecast Solar (BE) (MWh),Grid load forecast (BE) (MW)
2018-01-06 00:00:00,0.0,0.0,-0.00020906274070740805,0.11027498741798242,0.08230234526743359
2018-01-06 01:00:00,0.18854045316210868,0.07764957307689835,-0.10154073826529264,0.2043940611960784,0.15078126421230292
2018-01-06 02:00:00,0.0,0.32255029084417447,-0.2567291264930353,0.2505915177439124,0.11550331344304424
2018-01-06 03:00:00,-0.08847577654507514,0.7449773431655938,-0.27621785804661675,0.3365847548280225,0.0275486392520828
2018-01-06 04:00:00,-0.20214624015697102,0.6182683955954474,-0.37752983130721424,0.23281412335115936,0.015884357024786775
2018-01-06 05:00:00,-0.1500557310019915,0.3413769527833165,-0.3043731366058962,0.2967956215347334,0.39684345150561745
2018-01-06 06:00:00,-0.025428385458186143,0.12426045105751107,-0.2837301600897175,0.13663219746536548,0.3337859284671191
2018-01-06 07:00:00,-0.2355383217827528,0.1135737559380809,-0.1525457808328713,0.03389586923491427,0.32807335961903406
2018-01-06 08:00:00,-0.25023738066939877,0.277245945550625,-0.17096383965827208,0.055184910500172,0.3176769649976637
2018-01-06 09:00:00,-0.22736848946655014,0.44655173079971033,-0.083367177554702,0.15231290771022016,0.2898873130068209
2018-01-06 10:00:00,-0.04627593337055289,0.41177695161634265,0.03168375543005555,0.15516209610348985,0.2096475860223774
2018-01-06 11:00:00,-0.010113104669813406,0.22778483304272656,-0.05438632256420069,-0.003268773418504317,0.2053509478952973
2018-01-06 12:00:00,-0.09947015411219229,0.12787549448676522,-0.21161050902007245,-0.057928155226362604,0.17507962129818613
2018-01-06 13:00:00,-0.11512488141346776,0.07672602767129649,-0.2809464766721331,-0.10309666972216049,0.2899212910126706
2018-01-06 14:00:00,-0.0744999282407754,0.13285562206700885,-0.20086470391343614,-0.08959611612560911,0.2622732120625602
2018-01-06 15:00:00,-0.1028185062263199,0.07776349231606346,-0.3840078627089117,-0.053604082215417945,0.38100043485499413
2018-01-06 16:00:00,-0.19759697668719126,0.18932601476093594,-0.32540862958213773,-0.07277597064407183,0.313900829115853
2018-01-06 17:00:00,-0.2115903729474188,0.3257992128354773,-0.2529806552229987,0.04874654246317997,0.3268325438355117
2018-01-06 18:00:00,-0.22075094625138927,0.22766595225072098,-0.26983099416552697,0.10555648003860091,0.26595407066439525
2018-01-06 19:00:00,-0.0660125580028156,0.12508257520435423,-0.20648430825873282,0.15525530940679844,0.28964742854788056
2018-01-06 20:00:00,-0.06400100478040022,0.0,-0.41813525466615686,0.022040885014179702,0.20042835213210353
2018-01-06 21:00:00,-0.013701135326888164,0.0,-0.4500098743939355,0.07414423910472773,0.23812344515514305
2018-01-06 22:00:00,-0.26338851630701177,0.10292288151407145,-0.16540811290566435,0.007433435539318167,0.21134775481203372
2018-01-06 23:00:00,0.04821429083970546,0.20787560050049228,-0.2659789056550209,0.1316023111806519,0.17271386127371563
2018-01-07 00:00:00,0.0,0.012899420295434665,0.0016671560995251689,0.0906432170720497,0.0675759847593274
2018-01-07 01:00:00,0.08415791329338272,0.2219654686562214,-0.10216934381004512,0.22248805342997108,0.13437199026549707
2018-01-07 02:00:00,-0.011944318291675502,0.38205617721306134,-0.20288515431407358,0.27228036334563394,0.09317351033502387
2018-01-07 03:00:00,-0.07724190534233831,0.6927345307466958,-0.3106789411127037,0.32319826944304086,0.03241830782414944
2018-01-07 04:00:00,-0.24302826197027716,0.6504673669499947,-0.41676152306866737,0.2566375619879808,0.015665884415637033
2018-01-07 05:00:00,-0.13245236592624185,0.3373431848212017,-0.36518174902577916,0.3182412440918098,0.4057882959480214
2018-01-07 06:00:00,-0.034585983886416816,0.11230161794680654,-0.31290967425601823,0.13929542548529827,0.3386395928095563
2018-01-07 07:00:00,-0.23777758235412794,0.11960135051323731,-0.16731304246563838,0.029697481001697057,0.31163243850646816
2018-01-07 08:00:00,-0.25274125760327726,0.2796375454089078,-0.18960900987463386,0.051894221037440985,0.3010950516280252
2018-01-07 09:00:00,-0.13647958785804448,0.33181620033122783,-0.09631175785468545,0.1482424848457119,0.30114798426777817
2018-01-07 10:00:00,-0.036402772016666994,0.39581622969666164,0.004090251731211095,0.15313351666994987,0.2052877595744471
2018-01-07 11:00:00,0.0,0.13518534871690793,-0.08603591792202876,0.047406783428559966,0.35524010732671885
2018-01-07 12:00:00,-0.09378125130879003,0.13289179635983964,-0.2153627902246259,-0.05091808599718345,0.15268217978975104
2018-01-07 13:00:00,-0.09658916432896994,0.07450726246792505,-0.28281905214694214,-0.09312107875548775,0.2730259126121113
2018-01-07 14:00:00,-0.08152650464140407,0.1447039303990962,-0.19276650098748868,-0.10420696597668364,0.22325350786240014
2018-01-07 15:00:00,-0.13330150760515788,0.0986853270780168,-0.38938478952229116,-0.044039700013184996,0.3619963478704362
2018-01-07 16:00:00,-0.2015647450725457,0.18414581480394707,-0.3236060422268041,-0.06834765306654567,0.30212058234753364
2018-01-07 17:00:00,-0.15567436293571263,0.32573104076868864,-0.25661095704930637,0.07687322518170481,0.3033318309524391
2018-01-07 18:00:00,-0.1996812673304219,0.2570238274334455,-0.2779300940728333,0.13873112794517314,0.2874976021219944
2018-01-07 19:00:00,-0.07195779845788264,0.1358557421942425,-0.1950651222355891,0.13892265674193666,0.28298063550148334
2018-01-07 20:00:00,-0.06452243891113629,0.0,-0.4427915116579048,0.04401493465353221,0.1953730397718219
2018-01-07 21:00:00,0.0,0.0,-0.46540168828647693,0.13466045104345656,0.2050358526659103
